Time,Cycle,Address_Buffer, Operation_Buffer,Data_Buffer, Index_buffer, Tag_Buffer, Offset_buffer, Tag_Old, Tag_New, Data_Old, Data_New, mem_inst_q_alloc, mem_inst_q_op, mem_data_q_alloc, mem_data_q_op, ic_inst_q_alloc, ic_inst_q_op, ic_data_q_alloc, ic_data_q_op,dc_inst_q_alloc, dc_inst_q_op, dc_data_q_alloc, dc_data_q_op,
              516000,         50,32'h00000120 ,    WR,128'h00000000000000000000000000000000 ,9'h009 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h1,     WR,1'h0,   NOOP,1'h0,   NOOP,    MEM,     I$, 32'h00000120, 128'h00000000000000000000000000000000
              526000,         51,32'h00000230 ,    RD,128'h00000000000000000000000000000000 ,9'h011 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000230, 128'h00000000000000000000000000000000
              536000,         52,32'h00000270 ,    RD,128'h00000000000000000000000000000000 ,9'h013 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000270, 128'h00000000000000000000000000000000
              546000,         53,32'h000002b0 ,    RD,128'h00000000000000000000000000000000 ,9'h015 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000002b0, 128'h00000000000000000000000000000000
              556000,         54,32'h00000120 ,    RD,128'h00000000000000000000000000000000 ,9'h009 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000120, 128'h00000000000000000000000000000000
              566000,         55,32'h00000370 ,    RD,128'h00000000000000000000000000000000 ,9'h01b ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000370, 128'h00000000000000000000000000000000
              576000,         56,32'h00000030 ,    WR,128'h00112233445566778899aabbccddeeff ,9'h001 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h1,     WR,1'h0,   NOOP,1'h0,   NOOP,    MEM,     I$, 32'h00000030, 128'h00112233445566778899aabbccddeeff
              586000,         57,32'h000003b0 ,    RD,128'h00000000000000000000000000000000 ,9'h01d ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000003b0, 128'h00000000000000000000000000000000
              596000,         58,32'h000003f0 ,    RD,128'h00000000000000000000000000000000 ,9'h01f ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000003f0, 128'h00000000000000000000000000000000
              606000,         59,32'h00000430 ,    RD,128'h00000000000000000000000000000000 ,9'h021 ,18'h00000 ,4'h0 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000430, 128'h00000000000000000000000000000000
