Time,Cycle,Address_Buffer, Operation_Buffer,Data_Buffer, Index_buffer, Tag_Buffer, Offset_buffer, Tag_Old, Tag_New, Data_Old, Data_New, mem_inst_q_alloc, mem_inst_q_op, mem_data_q_alloc, mem_data_q_op, ic_inst_q_alloc, ic_inst_q_op, ic_data_q_alloc, ic_data_q_op,dc_inst_q_alloc, dc_inst_q_op, dc_data_q_alloc, dc_data_q_op,
              616000,         60,32'h00000031 ,    RD,128'h00000000000000000000000000000000 ,9'h001 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000031, 128'h00000000000000000000000000000000
              626000,         61,32'h000004f1 ,    RD,128'h00000000000000000000000000000000 ,9'h027 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000004f1, 128'h00000000000000000000000000000000
              636000,         62,32'h000001f1 ,    WR,128'h00000000000000000000000000000000 ,9'h00f ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h1,     WR,1'h0,   NOOP,1'h0,   NOOP,    MEM,     I$, 32'h000001f1, 128'h00000000000000000000000000000000
              646000,         63,32'h00000531 ,    RD,128'h00000000000000000000000000000000 ,9'h029 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000531, 128'h00000000000000000000000000000000
              656000,         64,32'h00000571 ,    RD,128'h00000000000000000000000000000000 ,9'h02b ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000571, 128'h00000000000000000000000000000000
              666000,         65,32'h000005b1 ,    RD,128'h00000000000000000000000000000000 ,9'h02d ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000005b1, 128'h00000000000000000000000000000000
              676000,         66,32'h000001f1 ,    RD,128'h00000000000000000000000000000000 ,9'h00f ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000001f1, 128'h00000000000000000000000000000000
              686000,         67,32'h00000671 ,    RD,128'h00000000000000000000000000000000 ,9'h033 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h00000671, 128'h00000000000000000000000000000000
              696000,         68,32'h00000031 ,    WR,128'hffeeddccbbaa99887766554433221100 ,9'h001 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h1,     WR,1'h0,   NOOP,1'h0,   NOOP,    MEM,     I$, 32'h00000031, 128'hffeeddccbbaa99887766554433221100
              706000,         69,32'h000006b1 ,    RD,128'h00000000000000000000000000000000 ,9'h035 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000006b1, 128'h00000000000000000000000000000000
              716000,         70,32'h000006f1 ,    RD,128'h00000000000000000000000000000000 ,9'h037 ,18'h00000 ,4'h1 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000 ,18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000_18'h00000,4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,4'h1_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0_4'h0,1'h3,     RD,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,1'h0,   NOOP,     I$,    MEM, 32'h000006f1, 128'h00000000000000000000000000000000
